count,arrest,year,community_area,primary_type
2305,239,2016,25,06
87,17,2009,54,08A
761,37,2010,2,14
154,74,2014,54,26
81,6,2015,40,07
72,16,2014,17,08A
2,2,2007,12,24
5,0,2007,36,10
318,64,2009,17,26
1,0,2009,31,19
142,132,2013,29,24
94,94,2013,17,18
2,0,2009,36,17
29,29,2016,7,18
612,85,2015,33,06
43,7,2016,35,04A
45,3,2008,50,11
100,6,2012,12,05
5,5,2010,31,13
106,106,2012,4,18
3,2,2015,59,16
2,0,2007,54,10
373,62,2012,29,04B
96,96,2010,19,16
364,26,2014,70,14
576,199,2016,44,26
5,1,2009,54,17
76,4,2013,51,07
13,13,2015,24,22
4,2,2009,74,15
3,0,2013,5,20
40,8,2014,48,04B
2,2,2014,4,19
253,28,2012,57,06
60,47,2013,30,15
39,4,2007,52,11
36,0,2009,50,03
75,35,2010,8,24
11,2,2014,17,17
123,15,2013,61,11
29,29,2014,52,24
84,33,2014,36,26
547,166,2010,31,08B
6,4,2009,41,15
2,0,2009,10,02
216,9,2010,34,14
26,3,2012,47,07
4,4,2016,35,01A
58,8,2009,36,08A
1,0,2011,34,20
95,1,2016,72,11
57,1,2013,54,05
3,3,2008,46,13
7,0,2014,48,10
48,9,2008,59,11
169,7,2008,62,05
42,6,2016,37,07
1,0,2007,43,12
61,18,2010,12,08B
125,7,2009,4,11
4,0,2013,57,09
411,28,2014,16,14
108,0,2016,39,11
1,0,2013,17,01A
302,37,2007,24,11
323,30,2015,10,06
10,2,2010,27,09
1,1,2008,73,13
57,6,2007,54,04B
36,4,2012,29,10
6,6,2015,52,22
9,7,2012,55,15
36,3,2009,59,03
32,28,2013,8,22
798,164,2008,73,08B
50,50,2011,57,16
5,1,2009,33,02
118,6,2011,45,07
115,12,2013,42,07
562,52,2007,71,07
64,11,2008,4,03
38,12,2011,8,17
10,6,2013,76,24
38,28,2012,38,15
1403,317,2008,46,08B
22,10,2013,17,04A
1,0,2010,5,12
470,192,2012,61,26
49,9,2007,53,20
37,32,2008,75,15
135,7,2012,31,05
1,1,2012,37,22
31,29,2014,24,24
861,230,2015,61,08B
16,4,2012,4,04A
2,2,2013,73,16
19,18,2009,6,22
78,78,2016,35,18
1700,582,2007,8,08B
23,5,2016,7,04A
4,2,2012,76,04B
4,2,2010,37,10
643,15,2011,22,07
19,19,2013,46,16
242,58,2007,48,26
43,8,2015,67,20
1,1,2009,12,19
4,1,2012,28,12
75,68,2007,31,24
290,16,2009,11,14
31,6,2016,53,02
317,87,2011,8,08A
24,0,2013,36,05
7,1,2011,73,09
23,2,2007,36,04B
1,1,2015,61,13
15,15,2010,29,22
11,0,2011,46,09
3,3,2011,37,19
94,4,2014,31,11
481,60,2008,77,26
6,5,2007,8,13
132,4,2016,26,05
2,2,2014,52,22
10,2,2008,72,20
89,88,2011,27,16
30,12,2010,17,04A
17,3,2016,63,02
1,0,2013,5,12
409,80,2011,29,08A
6,0,2013,12,13
48,7,2008,66,10
315,19,2014,10,06
104,37,2011,24,04A
408,20,2015,16,14
32,32,2010,8,22
3,0,2008,13,09
205,9,2010,42,07
7,0,2015,48,10
6,2,2010,76,24
5,3,2007,29,13
44,39,2015,24,24
14,1,2009,13,10
6,2,2013,27,09
87,76,2011,44,15
3,1,2011,24,01A
1,0,2011,34,12
2100,429,2007,29,08B
85,1,2010,54,05
6,1,2016,16,09
27,2,2009,66,09
405,83,2016,14,08B
46,1,2016,9,14
4,3,2016,47,24
40,6,2013,12,08B
11,0,2016,50,20
18,9,2007,13,17
3,2,2010,17,01A
1,1,2010,57,09
15,1,2016,42,10
2,0,2011,2,12
213,44,2016,23,04A
10,10,2013,29,22
8,2,2008,52,02
14,0,2007,10,03
30,5,2014,67,20
1,1,2007,6,19
2,0,2007,,07
33,13,2011,29,17
584,143,2016,3,08B
187,187,2011,52,18
1,1,2007,12,22
62,0,2010,36,05
955,256,2014,61,08B
1,0,2008,12,16
115,37,2011,13,08B
10,2,2007,50,02
18,5,2013,37,10
53,53,2010,46,16
19,19,2016,67,16
15,5,2007,63,20
98,4,2015,31,11
53,11,2016,51,04B
1,1,2014,61,13
326,34,2011,62,06
2,2,2011,13,13
977,308,2008,68,26
99,10,2012,8,10
29,6,2016,23,01A
2,2,2010,73,16
4,1,2008,18,20
40,8,2007,13,08A
79,72,2010,29,24
111,5,2014,40,07
1,1,2007,76,13
140,56,2015,54,26
504,25,2016,71,05
16,3,2012,28,20
105,103,2010,17,18
32,10,2008,24,02
128,25,2012,36,08B
46,2,2015,12,11
52,7,2011,76,08A
153,24,2016,42,04B
82,11,2007,33,03
5,0,2007,59,02
1,0,2012,62,16
494,493,2011,24,18
1189,335,2008,19,08B
128,10,2008,60,07
39,39,2008,31,16
494,19,2013,2,14
33,33,2007,31,22
122,32,2012,8,04B
52,7,2007,37,05
2,1,2008,19,13
198,46,2007,76,08B
33,11,2013,37,04B
81,17,2015,17,08A
46,38,2009,6,24
47,1,2016,43,02
19,2,2016,51,10
611,35,2008,49,07
428,97,2013,31,08B
124,6,2013,34,14
31,8,2015,48,04B
1,1,2015,4,19
13,12,2012,37,24
21,21,2014,24,22
321,14,2015,70,14
184,4,2008,55,14
1000,999,2016,23,18
11,3,2011,76,17
94,86,2013,8,24
275,56,2008,65,26
318,16,2012,75,14
3,3,2014,59,16
14,1,2011,19,09
371,62,2008,66,04B
1,1,2013,76,22
41,8,2011,52,04A
283,40,2007,26,07
540,24,2008,38,14
120,28,2010,61,11
79,18,2007,43,20
640,70,2014,33,06
230,15,2011,5,14
142,8,2010,51,07
6,1,2010,5,20
79,60,2010,30,15
71,9,2015,36,26
28,28,2015,52,24
9,0,2016,70,09
841,55,2012,27,06
13,4,2008,39,20
294,19,2008,58,07
176,14,2008,1,07
2,1,2013,31,13
13,5,2009,13,04B
406,78,2012,54,08B
12,1,2015,17,17
3210,259,2008,6,06
12,2,2016,59,20
34,34,2013,19,16
3,0,2015,22,12
1380,94,2010,29,06
87,84,2013,65,18
415,29,2009,49,07
68,43,2010,63,15
139,1,2009,55,14
137,11,2014,2,07
151,38,2013,27,04B
153,7,2016,56,05
26,12,2013,68,01A
12,1,2016,70,10
262,63,2009,65,26
229,28,2007,27,05
24,7,2010,57,04B
88,18,2014,65,08A
2,2,2014,4,16
54,13,2016,16,04B
38,18,2010,77,04A
538,29,2009,38,14
309,65,2009,66,04B
11,4,2010,62,17
225,6,2016,15,05
42,19,2011,19,10
5,3,2010,77,01A
310,25,2013,40,14
20,8,2008,13,04B
2,1,2015,9,04B
136,13,2009,1,07
7,4,2009,39,20
154,53,2013,68,04A
195,20,2009,58,07
14,2,2016,4,20
2,1,2010,20,12
207,17,2010,61,03
5,0,2012,7,20
3079,289,2009,6,06
1011,37,2007,44,14
5,1,2016,51,09
32,6,2009,24,02
252,42,2012,37,06
167,13,2010,70,07
49,49,2015,62,18
4872,757,2013,8,06
6,1,2007,4,02
1173,384,2009,19,08B
15,3,2014,65,17
11,11,2014,33,24
8,8,2009,31,16
198,19,2015,51,14
58,1,2014,34,07
4,4,2015,10,22
109,8,2009,60,07
58,8,2010,62,08A
3,2,2009,19,13
180,13,2015,52,06
124,115,2013,53,15
107,31,2007,33,11
5,4,2012,11,15
39,35,2012,27,24
3,1,2015,12,03
40,10,2008,6,24
152,7,2016,21,05
9,2,2009,52,02
198,45,2012,73,08A
7,5,2007,5,15
2,0,2012,8,09
10,10,2013,73,19
23,5,2007,30,20
18,3,2013,65,04A
6,4,2014,10,24
63,9,2015,31,03
221,220,2010,77,18
549,131,2007,66,08A
392,15,2010,16,07
70,6,2016,57,07
411,82,2012,46,08A
2,2,2009,12,16
443,29,2015,42,14
547,48,2010,76,06
6,6,2013,46,19
95,7,2007,10,11
410,101,2014,68,08A
2640,160,2015,24,06
6,5,2012,64,15
117,25,2015,77,08A
916,365,2009,68,26
2,2,2012,57,22
9,3,2012,35,20
2,2,2015,33,22
2,1,2013,65,01A
1532,381,2011,66,08B
5,1,2014,45,20
801,797,2013,68,18
52,0,2016,47,06
42,15,2016,32,17
3,0,2016,42,09
2,1,2009,18,20
145,123,2010,43,15
171,10,2016,48,14
7,0,2010,57,10
10,3,2012,73,17
64,7,2016,70,04B
7,0,2009,72,20
50,5,2009,66,10
25,6,2014,22,20
23,1,2016,16,10
826,57,2012,25,07
223,9,2012,41,14
32,13,2007,66,17
46,2,2015,6,02
13,2,2013,20,20
7,0,2013,27,10
19,5,2015,62,04A
24,4,2012,46,17
2,0,2009,13,09
3,2,2012,23,12
9,2,2015,77,17
2,1,2015,48,09
2,2,2011,57,19
11,0,2008,13,10
18,5,2014,68,17
1,0,2015,9,10
3,3,2016,25,22
3,3,2015,62,01A
34,3,2016,30,02
16,15,2011,62,24
141,34,2011,19,04B
21,1,2008,66,09
116,3,2012,74,14
293,68,2016,32,08A
403,22,2014,42,14
5,4,2010,65,01A
54,53,2007,6,16
7,7,2012,27,22
274,14,2007,15,07
19,7,2012,59,04A
1244,1241,2010,68,18
25,3,2011,46,10
35,35,2008,6,22
1314,295,2016,69,08B
136,102,2013,43,15
47,4,2014,31,03
6,6,2015,10,24
25,2,2011,73,10
322,14,2008,11,14
5,2,2011,10,04A
92,92,2013,77,18
322,6,2013,16,07
7,1,2015,45,20
23,23,2016,67,19
63,6,2007,9,26
4,3,2014,33,22
178,20,2007,56,07
1,0,2010,37,09
562,33,2013,76,06
9,9,2010,46,19
391,107,2009,77,26
215,22,2016,27,07
2,2,2012,59,01A
7,7,2010,73,19
115,29,2014,77,08A
2,2,2016,69,13
40,10,2010,65,04A
2660,180,2014,24,06
413,88,2015,68,08A
46,16,2009,59,11
13,3,2016,28,01A
158,9,2009,62,05
71,71,2012,50,18
10,3,2014,62,04A
32,2,2014,6,02
112,3,2008,4,11
36,35,2011,27,19
22,5,2015,22,20
396,36,2011,67,07
985,126,2007,31,06
47,2,2008,59,03
18,3,2012,29,09
2,0,2016,4,12
18,5,2010,20,20
79,0,2016,39,03
19,2,2010,27,10
58,11,2009,4,03
245,24,2011,20,14
724,165,2009,73,08B
10,2,2008,33,02
4,1,2013,57,10
1250,273,2009,46,08B
406,47,2007,24,03
7,0,2014,9,10
27,6,2015,68,17
118,22,2016,28,04A
42,34,2009,75,15
33,33,2011,33,18
19,6,2014,77,17
1,0,2014,48,09
73,12,2015,65,08A
75,71,2012,59,18
2,2,2015,4,16
169,49,2010,68,04A
38,0,2009,50,11
1,0,2013,20,12
177,35,2013,61,03
9,3,2013,62,17
191,164,2016,25,24
123,9,2015,2,07
2,2,2008,74,15
5,0,2008,54,17
2,1,2013,77,01A
4,4,2011,62,22
22,3,2016,72,03
395,24,2010,40,14
16,4,2011,40,20
181,4,2007,12,06
263,26,2007,21,07
16,2,2013,57,04B
50,7,2008,50,03
33,16,2013,77,04A
2,0,2014,9,04B
28,28,2011,10,18
43,8,2012,23,20
1207,79,2013,29,06
2,1,2007,54,09
137,137,2010,65,18
281,64,2012,19,08A
31,24,2013,63,15
51,1,2008,36,08A
130,5,2007,57,05
48,7,2007,52,03
227,33,2010,27,04B
11,3,2010,68,01A
16,12,2008,41,15
7,1,2008,10,02
9,9,2015,33,24
10,2,2015,65,17
88,17,2011,73,04B
410,22,2008,64,14
20,10,2012,50,04A
46,46,2014,62,18
102,15,2008,54,08A
53,11,2013,62,08A
10,6,2012,57,24
1,1,2007,36,09
236,38,2011,46,04B
100,86,2010,53,15
15,0,2016,18,03
5077,640,2010,8,06
2,2,2008,31,19
2,0,2014,12,03
331,59,2008,17,26
11,5,2011,33,04A
29,9,2012,19,17
230,21,2014,52,06
4,1,2012,50,01A
191,189,2016,28,18
4,4,2014,10,22
146,13,2013,70,07
60,4,2015,34,07
5,0,2008,36,17
254,16,2014,51,14
61,4,2008,39,11
113,106,2014,43,24
47,7,2008,37,07
16,16,2010,3,16
3,3,2010,67,13
23,8,2010,15,17
136,3,2016,62,05
10,4,2009,28,01A
34,1,2016,59,11
180,8,2007,60,05
113,100,2012,49,24
21,10,2007,34,04A
2,2,2016,46,13
34,5,2013,60,04B
1,0,2016,73,13
4,4,2014,53,22
95,12,2010,5,11
23,23,2010,69,19
18,18,2012,71,16
3,1,2010,74,02
52,5,2016,4,03
87,7,2009,39,03
3,3,2008,22,19
10,2,2010,56,17
489,91,2016,73,08B
602,304,2015,32,26
138,26,2012,7,03
110,4,2014,13,14
793,81,2011,61,14
1,0,2009,4,12
9,8,2011,65,15
46,7,2010,61,20
318,44,2007,43,11
317,308,2007,25,19
22,18,2016,75,15
3,0,2007,24,12
103,41,2009,28,04A
238,22,2014,28,05
7,1,2010,41,02
4,4,2010,10,15
1,1,2007,34,01A
76,67,2012,1,24
2030,275,2010,67,08B
37,4,2011,69,10
45,37,2012,58,24
945,194,2016,46,08B
27,2,2008,7,04A
719,717,2011,53,18
59,10,2013,58,04B
959,845,2008,35,18
92,35,2013,1,04B
1666,330,2009,69,08B
10,0,2015,11,10
12,4,2015,64,04B
170,40,2010,15,08A
16,0,2011,35,02
49,8,2008,53,02
42,11,2015,21,04A
120,120,2015,56,18
4,0,2014,31,12
304,13,2007,58,05
3,3,2008,45,19
8,6,2007,2,01A
555,203,2012,32,08B
364,19,2007,1,05
57,23,2007,2,04A
113,23,2010,56,08A
3,0,2015,12,20
31,31,2009,67,19
13,11,2011,21,24
11,11,2010,14,16
854,39,2007,49,05
285,24,2013,66,07
4,4,2012,32,13
21,20,2012,60,24
2,1,2015,21,01A
251,14,2008,26,05
204,45,2013,49,04B
2,1,2009,69,13
208,208,2015,15,18
409,65,2012,28,11
217,15,2009,27,07
200,33,2016,77,26
99,97,2007,34,18
1,1,2014,47,02
33,0,2008,18,11
2387,188,2007,22,06
7,1,2013,1,10
64,8,2007,63,11
14,2,2013,58,10
157,140,2011,68,15
130,35,2014,5,08B
63,57,2007,67,24
129,11,2010,32,05
8,0,2015,31,20
5,1,2015,64,10
8,3,2015,11,04B
3552,670,2008,25,06
234,39,2007,30,03
90,8,2014,45,03
127,18,2012,35,03
30,5,2013,49,10
17,3,2010,21,17
19,1,2009,18,03
1,0,2014,12,12
915,473,2013,28,26
215,17,2014,67,11
56,55,2014,63,24
526,508,2009,28,18
1,1,2008,47,22
10,1,2013,60,10
23,21,2011,15,24
152,46,2011,53,04A
2,0,2013,61,12
60,2,2016,50,11
54,16,2008,35,04A
116,106,2008,7,18
2,1,2015,15,01A
55,7,2013,20,03
34,4,2009,72,03
828,68,2014,30,06
24,8,2015,56,04A
157,19,2014,22,03
91,91,2015,21,18
183,170,2009,25,24
14,3,2011,7,02
828,232,2008,44,26
4,1,2015,56,01A
16,1,2008,,05
2,2,2010,33,15
27,22,2011,56,24
1,1,2015,43,22
425,26,2007,45,06
2,0,2014,38,09
363,360,2007,2,18
172,40,2010,21,08A
1548,122,2011,71,06
300,62,2011,69,04B
743,56,2012,67,05
87,9,2008,72,11
38,12,2015,15,04A
8,5,2011,53,01A
4,2,2008,35,01A
1,0,2007,52,12
67,66,2015,53,24
2,0,2014,55,09
9,4,2014,11,04B
30,0,2016,24,02
215,45,2007,70,08A
9,9,2011,1,19
7,1,2014,64,10
864,52,2008,71,05
12,2,2014,31,20
126,26,2015,5,08B
4,0,2009,51,09
43,6,2011,,06
21,15,2011,77,15
19,18,2011,21,22
819,203,2016,19,08B
52,19,2011,63,04A
1,1,2011,70,13
42,6,2010,49,10
7,1,2013,21,17
2,0,2015,47,02
252,66,2008,42,04B
3,3,2012,60,22
1040,489,2010,28,26
10,0,2007,39,02
1161,1160,2011,43,18
2,1,2016,19,13
24,1,2010,1,10
34,34,2015,63,24
21,2,2010,58,10
410,90,2011,70,08B
89,7,2013,32,05
238,20,2015,67,11
68,3,2007,62,07
59,7,2016,60,07
7,2,2011,63,01A
12,12,2011,49,19
73,12,2008,43,02
23,3,2008,51,10
61,18,2007,32,04B
65,2,2015,45,03
2588,2565,2008,23,18
85,2,2016,55,14
23,3,2007,70,17
256,77,2011,75,26
205,9,2009,56,05
15,4,2014,56,04A
85,85,2014,21,18
159,20,2015,22,03
700,45,2015,30,06
11,10,2012,58,22
21,21,2012,1,22
264,15,2016,49,07
103,8,2007,53,11
59,14,2011,23,02
72,17,2009,16,04B
2,2,2014,15,01A
1,1,2014,39,16
4,3,2013,33,15
222,41,2016,66,04B
256,47,2007,64,26
437,24,2016,38,14
1,1,2012,21,19
171,26,2016,65,26
21,0,2009,70,10
120,29,2013,21,08A
15,4,2007,24,20
3,0,2008,70,09
77,75,2014,53,24
383,12,2009,15,05
237,234,2012,26,16
46,20,2014,15,04A
148,35,2012,5,26
487,26,2007,17,14
1430,74,2011,25,05
2147,172,2016,6,06
4,0,2015,38,09
5,0,2010,60,10
8,2,2008,59,20
6,5,2014,43,22
2,2,2012,49,22
113,8,2016,1,07
13,0,2012,40,02
1,0,2010,61,12
5,0,2009,4,20
1,1,2014,56,01A
151,13,2016,58,07
6,1,2016,39,20
85,5,2010,20,03
16,1,2016,66,10
15,1,2013,41,02
7,5,2013,10,15
15,1,2009,16,10
1,1,2008,14,13
272,73,2007,11,26
1707,330,2013,67,08B
1,1,2015,53,22
302,10,2009,48,14
177,18,2011,40,03
26,11,2008,63,02
195,132,2011,34,11
12,1,2016,72,20
78,18,2009,70,04B
1,0,2016,13,09
12,4,2013,56,17
7,2,2007,18,02
16,5,2011,43,01A
745,73,2011,26,06
415,414,2011,63,18
36,13,2007,16,17
4,4,2011,56,22
34,12,2013,61,20
130,122,2015,43,24
3,0,2011,3,09
34,11,2009,30,02
63,16,2010,60,04B
447,36,2012,23,03
76,3,2013,5,11
46,46,2009,22,16
432,80,2012,69,08A
16,1,2007,52,20
284,23,2015,28,05
205,54,2011,43,04A
10,10,2013,69,19
37,37,2009,25,22
3,1,2013,74,02
253,81,2009,32,08A
14,14,2011,15,22
7,1,2008,50,20
655,227,2008,14,08B
133,5,2008,9,14
119,5,2015,13,14
5,5,2008,47,24
5,5,2013,3,16
15,6,2013,15,17
7,5,2013,67,13
606,366,2014,32,26
17,1,2008,16,09
1,0,2013,25,01B
349,69,2010,49,04B
2,2,2011,16,13
317,11,2009,21,05
3,0,2016,52,02
1,0,2015,31,12
45,19,2014,21,04A
160,156,2014,56,18
24,3,2008,42,10
5,5,2014,63,22
231,70,2008,23,04A
1,1,2009,45,16
8,5,2014,64,04B
94,25,2013,56,08A
83,6,2009,57,07
3,3,2012,56,19
14,14,2013,14,16
9,1,2014,11,10
918,104,2008,3,08B
643,46,2010,66,07
204,62,2007,16,08A
164,13,2011,2,11
677,329,2016,68,26
17,17,2007,67,22
215,215,2014,15,18
59,17,2008,51,04B
118,22,2007,32,10
166,165,2008,67,16
3,1,2008,3,13
24,6,2012,69,17
5,1,2007,72,02
76,1,2009,47,06
101,20,2010,58,04B
5,0,2011,14,09
27,15,2008,23,01A
113,39,2010,1,04B
38,13,2009,32,17
5,1,2016,18,20
10,1,2009,42,09
630,196,2011,16,08B
1,0,2014,12,20
176,48,2013,15,08A
2,1,2007,10,12
12,1,2010,,08A
60,34,2010,24,15
140,26,2011,2,03
248,66,2009,23,04A
287,13,2014,23,05
24,2,2009,42,10
6,0,2011,14,10
786,188,2013,22,08B
13,4,2010,44,01A
319,16,2008,21,05
15,6,2015,26,01A
30,9,2013,71,17
28,13,2007,42,17
1,0,2007,32,09
109,8,2008,57,07
3,3,2011,17,15
288,86,2014,20,08B
55,49,2011,26,24
11,11,2011,71,22
213,14,2015,7,05
1475,136,2015,43,06
3,3,2007,45,22
785,257,2009,3,08B
68,15,2009,51,04B
30,30,2014,30,22
358,130,2010,35,26
1,1,2010,14,19
104,25,2015,26,04A
3,1,2014,11,09
95,11,2014,25,02
202,201,2009,67,16
2,1,2009,3,13
41,7,2008,32,17
7,1,2008,42,09
23,10,2009,23,01A
61,2,2010,13,07
135,40,2010,44,04A
101,2,2008,47,06
8,7,2015,76,15
1,1,2013,22,13
166,17,2012,23,11
41,6,2013,5,03
25,3,2008,16,10
2,2,2009,14,13
7,7,2010,3,19
1,0,2010,,17
1,1,2011,42,13
202,51,2011,41,26
1,0,2013,45,13
15,2,2015,55,04B
89,15,2008,70,04B
737,737,2014,71,18
18,2,2009,63,02
307,19,2008,48,14
22,22,2010,69,16
12,11,2012,71,19
379,106,2007,42,08A
435,103,2013,71,08A
101,13,2015,38,04B
682,53,2015,66,14
719,717,2007,25,16
30,5,2011,3,10
43,43,2007,22,22
43,10,2008,30,02
86,10,2011,34,03
2,0,2016,13,10
108,12,2011,74,26
565,38,2007,77,14
48,48,2008,25,22
52,7,2011,40,11
61,59,2008,22,16
6,5,2009,47,24
526,187,2009,14,08B
82,2,2009,9,14
553,553,2011,30,18
909,182,2011,42,08B
276,26,2008,32,08A
262,52,2013,45,08B
5,0,2009,50,20
13,1,2009,16,09
22,2,2016,66,09
12,4,2013,75,02
191,9,2008,56,05
2635,2615,2009,23,18
3,3,2007,47,19
21,4,2015,38,10
6,0,2010,60,09
1,1,2011,,24
414,79,2011,51,08B
348,70,2015,44,08A
262,66,2010,26,08A
924,460,2013,23,26
69,16,2008,16,04B
55,2,2015,35,05
53,1,2010,20,11
2,0,2015,55,10
29,3,2008,70,10
1,0,2012,34,02
251,9,2015,22,11
168,138,2015,29,15
2019,2019,2015,26,18
410,29,2015,63,06
9,0,2009,70,09
334,112,2010,7,26
254,22,2007,53,03
171,29,2007,51,08A
295,16,2008,15,05
5,1,2009,59,20
95,14,2011,3,04B
766,762,2010,44,18
6,1,2008,4,20
13,5,2016,13,04B
169,49,2014,71,04A
261,27,2015,67,03
15,7,2011,30,01A
1082,63,2009,71,05
17,3,2015,44,17
16,13,2010,52,15
122,120,2015,30,24
2,0,2008,51,09
13,2,2010,26,17
58,0,2015,45,11
8,1,2010,58,09
57,20,2011,14,04B
32,26,2014,8,15
6,1,2010,1,09
266,61,2009,42,04B
663,44,2014,53,06
15,1,2007,51,17
20,2,2010,49,09
18,2,2012,2,02
79,4,2009,43,02
23,2,2009,51,10
53,48,2016,6,24
97,46,2011,30,04A
3,0,2014,64,09
14,4,2014,71,01A
72,70,2012,39,18
3,0,2014,55,10
13,4,2012,18,04A
1,1,2009,47,22
654,653,2013,44,18
50,3,2014,35,05
29,4,2009,35,04A
103,103,2009,7,18
131,3,2012,45,05
303,71,2014,44,08A
57,53,2007,22,24
4,4,2012,21,16
47,14,2008,72,03
13,2,2014,38,10
1856,202,2007,67,06
743,222,2009,44,26
10,1,2016,54,17
297,12,2011,31,07
246,95,2013,7,26
154,140,2008,25,24
211,31,2013,26,08A
35,27,2012,48,15
1053,464,2010,23,26
13,13,2012,26,19
12,1,2009,,05
54,3,2013,20,11
40,4,2016,50,03
13,4,2010,75,02
2,1,2009,35,01A
5,0,2016,10,02
5,4,2016,41,15
82,6,2009,72,11
41,3,2016,36,08A
1,0,2013,60,09
2107,2101,2014,26,18
498,47,2014,63,06
124,96,2014,29,15
217,11,2014,22,11
29,25,2015,8,15
79,7,2012,35,11
1049,174,2011,15,06
126,3,2016,64,14
65,2,2014,45,11
591,246,2007,38,26
2,0,2012,72,01A
5,5,2011,1,16
592,63,2007,65,14
36,1,2009,18,11
123,108,2007,61,15
99,99,2011,58,16
3,1,2007,10,20
108,17,2007,55,26
9,4,2014,44,17
155,149,2014,30,24
3559,792,2009,25,06
10,0,2013,49,09
164,47,2015,71,04A
104,21,2016,54,08A
303,22,2014,67,03
362,349,2007,40,18
206,35,2016,17,26
11,3,2013,26,17
12,4,2015,71,01A
2,0,2015,64,09
42,6,2011,28,02
21,17,2007,45,24
518,44,2011,56,06
11,2,2013,58,09
25,3,2008,18,03
17,17,2011,26,22
116,100,2011,71,24
5,1,2013,1,09
5,1,2016,36,17
121,15,2007,63,03
683,24,2012,22,05
21,18,2013,52,15
100,18,2007,30,11
600,587,2008,28,18
11,5,2012,72,04A
78,78,2011,49,16
603,54,2015,53,06
4,1,2007,33,20
1860,406,2008,69,08B
20,20,2016,6,22
1504,117,2014,43,06
41,2,2013,13,07
128,37,2013,44,04A
202,8,2014,7,05
282,86,2015,20,08B
20,7,2009,7,04A
457,428,2009,35,18
42,42,2012,18,18
1434,100,2012,49,06
31,8,2012,39,04A
20,8,2014,26,01A
3,2,2010,22,13
287,8,2015,23,05
43,6,2009,53,02
301,140,2013,35,26
135,7,2016,11,14
53,53,2012,56,16
2,2,2013,14,19
1,1,2009,45,19
116,25,2012,14,08A
351,36,2012,28,03
33,8,2010,71,17
9,8,2014,76,15
45,44,2008,67,19
111,11,2015,25,02
2,2,2008,69,13
31,24,2013,24,15
353,17,2012,6,07
1,1,2015,11,09
231,12,2009,26,05
32,16,2012,3,17
2,2,2012,15,16
93,23,2014,26,04A
3,2,2012,39,01A
1049,130,2012,1,06
28,28,2015,30,22
2,1,2009,7,01A
510,20,2012,58,06
13,6,2013,44,01A
1019,289,2010,22,08B
326,28,2008,27,07
700,71,2014,66,14
38,2,2009,37,07
108,27,2014,38,04B
60,3,2009,39,11
228,7,2016,4,11
9,1,2011,69,09
296,56,2010,45,08B
789,56,2007,43,03
10,6,2008,28,01A
251,18,2012,7,11
672,672,2015,71,18
10,6,2007,40,01A
11,5,2014,55,04B
12,2,2012,14,17
53,2,2011,47,05
18,0,2011,12,07
11,11,2013,69,16
13,0,2016,33,02
507,131,2010,71,08A
74,10,2008,39,03
703,96,2011,21,06
1,1,2009,22,19
1,0,2008,4,12
29,9,2016,59,03
74,19,2007,40,04A
515,40,2012,60,06
27,27,2012,72,18
50,10,2010,5,03
205,58,2012,3,08A
1434,89,2007,68,14
1,1,2013,3,19
116,47,2008,28,04A
221,56,2012,20,26
2,2,2009,33,19
28,3,2016,22,02
396,12,2011,53,07
102,8,2014,10,11
118,18,2008,35,07
447,24,2012,3,14
701,123,2007,68,08A
32,3,2011,71,20
34,8,2015,9,26
15,3,2007,45,20
1009,59,2010,71,14
5,3,2011,68,13
66,6,2015,56,07
136,28,2008,13,26
788,767,2013,66,18
662,372,2013,27,26
24,4,2014,30,20
11,8,2007,10,24
9,0,2016,11,17
1793,290,2011,68,08B
2,1,2014,5,15
956,328,2009,66,26
1378,1370,2009,27,18
1,1,2015,6,16
154,5,2015,15,07
261,33,2016,16,26
293,94,2014,66,08A
100,16,2010,57,26
46,9,2009,65,04B
97,7,2012,10,05
234,39,2015,24,03
47,11,2007,68,17
226,226,2008,37,18
24,7,2009,68,10
13,1,2016,47,03
253,52,2010,33,08B
4,1,2011,37,02
41,19,2007,22,20
402,24,2012,14,14
61,18,2012,9,08B
37,6,2011,62,11
100,2,2011,59,05
16,2,2008,68,09
95,29,2008,25,20
1,1,2010,33,13
541,80,2015,31,06
69,13,2016,11,08A
7,2,2010,76,03
24,6,2014,66,17
10,3,2016,45,02
2,1,2009,12,02
191,146,2010,67,15
16,9,2009,27,01A
2,0,2015,54,09
12,7,2009,31,02
260,17,2008,7,07
80,59,2016,46,15
413,65,2009,68,04B
71,2,2015,57,05
31,5,2015,52,03
354,60,2016,75,08B
218,68,2010,10,08B
89,5,2012,33,05
186,6,2015,21,07
277,70,2011,65,08B
125,14,2015,12,06
9,3,2013,66,01A
51,43,2016,73,15
182,16,2007,2,07
168,12,2016,54,14
89,13,2012,37,03
110,109,2009,24,16
124,41,2013,66,04A
20,1,2010,9,05
89,2,2011,50,05
119,23,2007,65,08A
7,7,2009,59,22
197,41,2013,8,03
16,13,2007,4,16
2,1,2016,75,13
8,7,2008,4,22
2,1,2010,10,13
173,12,2014,27,05
44,5,2016,64,08A
127,41,2009,27,04A
18,4,2008,37,04A
42,5,2007,34,07
90,0,2016,36,14
1,0,2016,6,12
3,1,2008,65,09
1138,198,2010,61,06
429,29,2013,26,14
153,14,2014,33,11
278,38,2009,6,03
666,194,2011,19,26
429,48,2010,29,03
11,10,2012,32,15
613,47,2014,44,14
13,2,2009,65,10
242,40,2016,70,26
