count,arrest,year,community_area,primary_type
73,2,2010,35,11
10,1,2013,2,02
2,2,2014,7,13
318,32,2007,59,14
1005,175,2009,26,08B
7,2,2010,72,04A
9,2,2015,43,09
9,4,2008,17,20
42,35,2011,3,24
1,1,2014,38,22
13,8,2014,37,15
3,1,2007,47,17
798,34,2010,22,05
12,5,2015,3,01A
4328,776,2007,32,06
2,1,2016,13,24
8,0,2015,39,17
2,0,2015,23,13
1,1,2014,55,22
2,0,2009,47,10
1800,130,2008,24,14
308,13,2016,68,03
5,3,2015,14,01A
1040,51,2009,16,06
871,69,2016,66,06
8,8,2007,51,19
77,13,2011,47,08B
29,25,2011,14,24
81,79,2008,5,18
48,2,2009,76,07
15,15,2010,21,16
107,92,2009,42,24
36,2,2011,74,11
200,8,2010,45,05
395,185,2011,40,26
154,23,2015,30,04B
13,2,2011,5,02
29,2,2007,11,03
14,3,2010,18,04A
9,0,2011,26,10
192,191,2010,39,18
1,1,2010,18,01A
26,5,2008,38,02
83,15,2016,6,04B
46,46,2011,55,18
158,32,2014,32,03
2,2,2015,44,19
67,8,2015,39,08A
34,5,2007,47,08A
7,1,2012,75,02
604,603,2011,38,18
3,0,2013,34,02
15,1,2015,70,02
2,0,2008,55,02
854,374,2012,23,26
34,34,2010,26,19
59,21,2015,14,04A
23,22,2010,48,15
98,4,2011,41,11
13,12,2011,50,15
1047,232,2014,32,11
126,126,2013,26,16
1100,55,2008,16,06
74,59,2008,42,24
52,12,2008,76,07
83,83,2009,5,18
53,41,2014,27,15
17,4,2013,40,02
10,9,2014,11,24
1,1,2013,49,22
2,2,2014,28,13
50,6,2016,44,20
104,8,2011,41,03
118,30,2013,5,26
370,105,2007,60,08B
20,11,2011,49,17
133,27,2016,62,08B
5,0,2011,26,09
11,11,2013,1,22
536,44,2007,19,07
12,9,2013,58,22
32,8,2009,38,02
11,9,2015,57,15
1268,133,2011,3,06
1052,251,2014,28,08B
25,8,2011,1,17
310,3,2016,46,05
307,65,2016,13,06
22,6,2011,58,17
999,62,2010,67,05
31,25,2007,32,24
1,1,2016,62,13
179,4,2016,73,05
128,31,2012,21,08A
6,0,2009,55,02
6,6,2014,44,16
109,43,2011,34,26
61,10,2015,63,04B
9,2,2011,74,03
1,1,2013,21,19
127,34,2011,60,08A
2,2,2012,33,15
78,8,2007,11,11
1,0,2014,36,20
27,24,2009,16,24
45,38,2016,66,24
115,12,2012,32,05
1092,317,2007,1,08B
4,0,2009,47,09
579,44,2011,14,06
3,2,2007,49,13
879,50,2009,42,06
641,213,2007,58,08B
141,44,2014,69,04A
775,41,2009,69,05
6,0,2014,54,20
1,0,2008,26,13
461,131,2011,49,08A
15,2,2015,51,02
43,9,2015,43,10
187,12,2016,68,11
429,87,2011,2,26
12,2,2009,17,20
1258,240,2008,26,08B
138,29,2011,58,08A
9,9,2007,70,19
12,5,2014,69,01A
223,62,2011,1,08A
508,30,2007,4,14
1746,136,2009,24,14
152,37,2014,53,04B
3,0,2008,47,10
11,11,2013,60,22
15,5,2012,21,17
3,2,2007,1,13
31,4,2007,44,02
99,13,2010,35,03
12,3,2011,60,17
2070,446,2007,49,08B
4,2,2007,58,13
16,3,2009,5,04A
552,153,2010,32,08B
20,2,2013,69,17
153,11,2014,5,05
4,4,2011,69,22
318,76,2015,43,04B
171,40,2012,15,08A
440,41,2008,29,07
12,2,2007,48,20
817,451,2015,67,26
49,43,2009,70,24
317,30,2010,28,11
10,1,2014,53,10
15,1,2015,42,02
14,4,2008,47,04B
497,67,2009,51,06
29,24,2010,60,24
3,1,2010,32,13
1,1,2007,16,19
8,8,2012,14,16
479,26,2009,52,14
1,1,2009,5,01A
109,24,2012,56,08A
5,1,2008,77,20
6,0,2012,74,02
18,16,2014,64,24
70,70,2010,71,16
18,18,2012,69,19
17,15,2011,59,15
411,94,2013,69,08A
1,0,2008,,13
81,3,2012,5,11
379,45,2013,23,03
698,92,2015,38,06
3,3,2016,6,09
111,96,2010,49,24
570,43,2016,30,14
23,7,2012,15,17
2,2,2012,67,13
7,7,2012,3,16
107,13,2015,55,06
768,35,2008,70,06
1,1,2009,32,19
591,585,2014,69,18
84,69,2010,58,24
6,0,2015,63,10
132,2,2016,65,11
1856,330,2012,67,08B
63,40,2010,1,24
3,2,2012,10,15
15,1,2012,41,02
514,41,2015,6,14
59,5,2007,64,11
15,0,2015,30,09
35,8,2012,61,20
31,8,2008,,08B
762,217,2007,53,26
9,9,2008,51,24
161,20,2010,7,03
2,2,2015,11,22
8,3,2012,56,17
6,0,2016,48,02
93,2,2011,75,11
21,7,2011,15,10
14,12,2013,60,24
1,1,2013,32,13
684,279,2014,67,26
81,26,2007,25,17
411,29,2012,66,07
329,23,2016,19,05
558,102,2009,67,08A
1,1,2010,56,19
36,10,2008,22,17
395,46,2007,46,07
17,2,2007,55,03
2154,434,2008,71,08B
297,62,2014,43,04B
288,21,2007,73,07
502,74,2013,28,11
252,28,2007,38,03
260,58,2012,49,04B
141,17,2009,25,10
92,3,2015,5,05
5,5,2008,71,13
3,2,2008,11,02
47,10,2008,68,20
37,4,2008,25,09
2,2,2010,15,19
17,0,2007,22,09
112,24,2012,1,04B
20,5,2011,56,10
93,12,2012,58,04B
34,18,2016,2,15
318,97,2007,63,26
49,49,2011,11,18
6,6,2016,66,22
101,12,2008,18,26
596,207,2013,32,08B
1,0,2009,17,12
327,14,2011,70,05
132,27,2008,45,08A
20,3,2010,69,17
14,13,2009,16,22
20,3,2014,42,02
17,0,2015,53,10
53,11,2016,17,03
8,5,2016,34,15
431,431,2015,69,18
564,42,2009,44,03
1292,258,2007,25,08A
1,0,2007,75,01A
216,216,2008,20,18
129,17,2013,7,03
153,14,2014,55,06
1,0,2016,44,12
187,30,2008,72,26
358,83,2008,22,08A
24,6,2009,67,17
3,2,2009,15,13
56,52,2013,58,24
426,109,2009,56,08B
5,4,2011,25,13
2,0,2007,45,09
654,55,2014,38,06
65,11,2007,67,10
75,75,2008,32,16
198,8,2008,33,14
17,1,2011,71,09
12,2,2011,20,02
58,49,2013,1,24
28,28,2007,32,22
9,8,2015,64,24
3446,755,2011,25,08B
86,80,2013,49,24
242,46,2008,44,11
1,1,2014,11,22
23,6,2011,64,04A
11,0,2014,30,09
568,44,2014,6,14
333,47,2008,8,07
63,63,2013,71,16
449,83,2010,69,08A
9,0,2008,45,17
62,14,2011,21,04B
59,47,2007,42,16
137,34,2016,50,26
406,34,2010,23,03
9,9,2008,42,22
785,243,2009,15,08B
57,17,2007,75,04A
28,3,2012,60,04B
15,5,2014,63,10
2,2,2008,51,22
2,2,2011,11,01A
608,107,2007,67,04B
469,21,2008,10,14
1,1,2010,21,19
1,1,2015,28,13
1,1,2007,51,16
12,11,2015,11,24
81,61,2015,27,15
12,12,2010,1,22
16,16,2010,58,22
1528,490,2007,43,26
577,31,2013,67,05
849,51,2015,32,11
11,2,2008,65,20
58,6,2012,20,03
7,1,2015,36,20
244,14,2008,14,05
17,1,2011,21,10
1,0,2012,61,12
14,1,2010,40,02
5,5,2010,49,22
2,1,2008,0,08B
22,22,2015,44,16
5,0,2012,60,10
51,7,2014,63,04B
160,48,2010,5,26
85,18,2016,59,26
1,1,2014,64,22
113,112,2010,26,16
978,197,2015,28,08B
276,58,2008,39,26
11,11,2014,57,15
12,4,2011,11,04A
240,8,2016,77,11
884,450,2012,28,26
7,7,2010,60,22
12,1,2014,51,02
32,9,2014,43,10
44,7,2012,49,10
728,138,2009,25,04B
9,2,2015,54,20
45,14,2008,20,04A
1,0,2007,48,12
119,18,2013,35,03
260,13,2008,3,05
165,52,2015,69,04A
66,15,2011,15,04B
526,144,2009,21,08B
58,58,2011,64,18
2,2,2009,70,22
455,22,2011,16,05
2,1,2008,77,12
133,30,2015,53,04B
6,3,2008,64,02
5,3,2008,20,01A
283,283,2007,75,18
18,7,2015,69,01A
31,8,2011,56,04B
28,3,2012,58,10
27,2,2012,1,10
88,73,2011,69,24
14,5,2015,10,04B
1183,1177,2008,61,18
27,8,2010,46,17
1510,285,2007,27,08B
2,0,2009,44,12
33,3,2015,33,10
25,3,2016,67,17
6,1,2013,29,09
155,9,2007,54,06
9,7,2009,34,15
233,10,2010,41,14
5,1,2011,41,20
848,60,2010,25,07
8,4,2014,60,15
319,19,2016,44,03
5,0,2014,13,02
39,10,2011,61,02
11,1,2010,73,17
247,80,2016,56,08B
7,1,2012,57,10
1,0,2011,74,20
307,51,2011,27,08A
136,2,2010,74,14
24,1,2014,36,03
1,0,2016,56,13
47,47,2013,50,18
25,25,2011,29,16
55,37,2008,40,15
4,4,2007,27,13
106,35,2014,50,08A
60,49,2007,28,15
505,99,2016,15,08B
185,51,2009,50,26
602,40,2007,69,07
2,1,2010,23,12
4,0,2008,12,17
583,48,2012,76,06
37,1,2014,54,03
377,54,2016,67,08A
390,69,2010,46,08A
1,0,2007,55,12
425,10,2012,16,07
3,0,2014,52,09
610,22,2009,19,05
133,133,2012,77,18
113,37,2014,19,04A
4,4,2008,13,22
120,9,2008,17,11
