count,year,community_area,primary_type
340,2014,2,26
4,2015,2,01A
12,2015,2,02
91,2015,2,03
31,2015,2,04A
50,2015,2,04B
238,2015,2,05
683,2015,2,06
123,2015,2,07
137,2015,2,08A
504,2015,2,08B
4,2015,2,09
16,2015,2,10
172,2015,2,11
3,2015,2,13
434,2015,2,14
34,2015,2,15
2,2015,2,16
24,2015,2,17
156,2015,2,18
4,2015,2,19
22,2015,2,20
2,2015,2,22
27,2015,2,24
327,2015,2,26
7,2016,2,01A
20,2016,2,02
127,2016,2,03
52,2016,2,04A
61,2016,2,04B
196,2016,2,05
730,2016,2,06
165,2016,2,07
153,2016,2,08A
492,2016,2,08B
3,2016,2,09
22,2016,2,10
248,2016,2,11
463,2016,2,14
34,2016,2,15
1,2016,2,16
26,2016,2,17
87,2016,2,18
39,2016,2,20
8,2016,2,22
15,2016,2,24
310,2016,2,26
5,2007,3,01A
21,2007,3,02
195,2007,3,03
53,2007,3,04A
92,2007,3,04B
240,2007,3,05
1371,2007,3,06
173,2007,3,07
314,2007,3,08A
1021,2007,3,08B
5,2007,3,09
29,2007,3,10
213,2007,3,11
2,2007,3,12
2,2007,3,13
666,2007,3,14
24,2007,3,15
67,2007,3,16
55,2007,3,17
974,2007,3,18
14,2007,3,19
11,2007,3,20
17,2007,3,22
58,2007,3,24
768,2007,3,26
3,2008,3,01A
29,2008,3,02
183,2008,3,03
49,2008,3,04A
125,2008,3,04B
260,2008,3,05
1530,2008,3,06
159,2008,3,07
319,2008,3,08A
918,2008,3,08B
2,2008,3,09
27,2008,3,10
243,2008,3,11
3,2008,3,12
3,2008,3,13
626,2008,3,14
29,2008,3,15
20,2008,3,16
51,2008,3,17
691,2008,3,18
10,2008,3,19
13,2008,3,20
17,2008,3,22
47,2008,3,24
644,2008,3,26
1,2009,3,01A
28,2009,3,02
176,2009,3,03
62,2009,3,04A
75,2009,3,04B
209,2009,3,05
1324,2009,3,06
147,2009,3,07
249,2009,3,08A
785,2009,3,08B
5,2009,3,09
40,2009,3,10
224,2009,3,11
2,2009,3,12
2,2009,3,13
520,2009,3,14
25,2009,3,15
33,2009,3,16
37,2009,3,17
586,2009,3,18
5,2009,3,19
14,2009,3,20
13,2009,3,22
60,2009,3,24
566,2009,3,26
4,2010,3,01A
20,2010,3,02
165,2010,3,03
57,2010,3,04A
95,2010,3,04B
223,2010,3,05
1286,2010,3,06
187,2010,3,07
246,2010,3,08A
754,2010,3,08B
2,2010,3,09
18,2010,3,10
236,2010,3,11
3,2010,3,12
3,2010,3,13
492,2010,3,14
26,2010,3,15
16,2010,3,16
26,2010,3,17
640,2010,3,18
7,2010,3,19
8,2010,3,20
20,2010,3,22
69,2010,3,24
470,2010,3,26
5,2011,3,01A
38,2011,3,02
145,2011,3,03
71,2011,3,04A
95,2011,3,04B
227,2011,3,05
1268,2011,3,06
203,2011,3,07
216,2011,3,08A
578,2011,3,08B
3,2011,3,09
30,2011,3,10
236,2011,3,11
2,2011,3,12
395,2011,3,14
33,2011,3,15
7,2011,3,16
23,2011,3,17
666,2011,3,18
2,2011,3,19
8,2011,3,20
8,2011,3,22
42,2011,3,24
474,2011,3,26
5,2012,3,01A
21,2012,3,02
140,2012,3,03
43,2012,3,04A
74,2012,3,04B
217,2012,3,05
1350,2012,3,06
270,2012,3,07
205,2012,3,08A
662,2012,3,08B
4,2012,3,09
28,2012,3,10
237,2012,3,11
1,2012,3,12
447,2012,3,14
44,2012,3,15
7,2012,3,16
32,2012,3,17
712,2012,3,18
1,2012,3,19
18,2012,3,20
2,2012,3,22
27,2012,3,24
429,2012,3,26
1,2013,3,01A
25,2013,3,02
123,2013,3,03
46,2013,3,04A
62,2013,3,04B
132,2013,3,05
1142,2013,3,06
190,2013,3,07
231,2013,3,08A
608,2013,3,08B
1,2013,3,09
22,2013,3,10
273,2013,3,11
5,2013,3,12
2,2013,3,13
368,2013,3,14
23,2013,3,15
5,2013,3,16
25,2013,3,17
467,2013,3,18
1,2013,3,19
8,2013,3,20
4,2013,3,22
52,2013,3,24
470,2013,3,26
5,2014,3,01A
25,2014,3,02
105,2014,3,03
45,2014,3,04A
42,2014,3,04B
114,2014,3,05
969,2014,3,06
105,2014,3,07
167,2014,3,08A
571,2014,3,08B
5,2014,3,09
24,2014,3,10
241,2014,3,11
1,2014,3,12
330,2014,3,14
22,2014,3,15
2,2014,3,16
23,2014,3,17
515,2014,3,18
8,2014,3,20
1,2014,3,22
36,2014,3,24
450,2014,3,26
12,2015,3,01A
31,2015,3,02
115,2015,3,03
54,2015,3,04A
64,2015,3,04B
118,2015,3,05
885,2015,3,06
155,2015,3,07
182,2015,3,08A
610,2015,3,08B
2,2015,3,09
28,2015,3,10
294,2015,3,11
2,2015,3,12
325,2015,3,14
21,2015,3,15
2,2015,3,16
16,2015,3,17
278,2015,3,18
2,2015,3,19
17,2015,3,20
3,2015,3,22
36,2015,3,24
400,2015,3,26
8,2016,3,01A
28,2016,3,02
143,2016,3,03
66,2016,3,04A
96,2016,3,04B
135,2016,3,05
1012,2016,3,06
108,2016,3,07
185,2016,3,08A
584,2016,3,08B
2,2016,3,09
25,2016,3,10
318,2016,3,11
1,2016,3,12
306,2016,3,14
25,2016,3,15
1,2016,3,16
22,2016,3,17
112,2016,3,18
1,2016,3,19
22,2016,3,20
2,2016,3,22
17,2016,3,24
319,2016,3,26
1,2007,4,01A
6,2007,4,02
57,2007,4,03
20,2007,4,04A
19,2007,4,04B
188,2007,4,05
728,2007,4,06
96,2007,4,07
115,2007,4,08A
379,2007,4,08B
4,2007,4,09
23,2007,4,10
112,2007,4,11
1,2007,4,12
508,2007,4,14
4,2007,4,15
16,2007,4,16
20,2007,4,17
142,2007,4,18
6,2007,4,19
5,2007,4,20
17,2007,4,22
27,2007,4,24
350,2007,4,26
1,2008,4,01A
10,2008,4,02
64,2008,4,03
28,2008,4,04A
35,2008,4,04B
167,2008,4,05
759,2008,4,06
183,2008,4,07
126,2008,4,08A
371,2008,4,08B
2,2008,4,09
29,2008,4,10
112,2008,4,11
1,2008,4,12
415,2008,4,14
11,2008,4,15
7,2008,4,16
12,2008,4,17
111,2008,4,18
2,2008,4,19
6,2008,4,20
8,2008,4,22
25,2008,4,24
299,2008,4,26
6,2009,4,02
58,2009,4,03
27,2009,4,04A
25,2009,4,04B
180,2009,4,05
765,2009,4,06
126,2009,4,07
91,2009,4,08A
374,2009,4,08B
2,2009,4,09
17,2009,4,10
125,2009,4,11
1,2009,4,12
368,2009,4,14
9,2009,4,15
4,2009,4,16
18,2009,4,17
154,2009,4,18
1,2009,4,19
5,2009,4,20
8,2009,4,22
15,2009,4,24
260,2009,4,26
13,2010,4,02
56,2010,4,03
20,2010,4,04A
23,2010,4,04B
197,2010,4,05
731,2010,4,06
145,2010,4,07
104,2010,4,08A
323,2010,4,08B
1,2010,4,09
9,2010,4,10
93,2010,4,11
3,2010,4,13
370,2010,4,14
12,2010,4,15
9,2010,4,16
15,2010,4,17
156,2010,4,18
1,2010,4,19
5,2010,4,20
13,2010,4,22
34,2010,4,24
226,2010,4,26
1,2011,4,01A
12,2011,4,02
43,2011,4,03
16,2011,4,04A
25,2011,4,04B
173,2011,4,05
673,2011,4,06
143,2011,4,07
85,2011,4,08A
291,2011,4,08B
1,2011,4,09
7,2011,4,10
96,2011,4,11
1,2011,4,13
298,2011,4,14
9,2011,4,15
3,2011,4,16
13,2011,4,17
149,2011,4,18
1,2011,4,19
5,2011,4,20
9,2011,4,22
23,2011,4,24
238,2011,4,26
9,2012,4,02
54,2012,4,03
16,2012,4,04A
21,2012,4,04B
214,2012,4,05
703,2012,4,06
143,2012,4,07
109,2012,4,08A
333,2012,4,08B
1,2012,4,09
9,2012,4,10
85,2012,4,11
2,2012,4,13
282,2012,4,14
11,2012,4,15
1,2012,4,16
14,2012,4,17
106,2012,4,18
1,2012,4,19
6,2012,4,20
9,2012,4,22
15,2012,4,24
195,2012,4,26
2,2013,4,01A
7,2013,4,02
45,2013,4,03
30,2013,4,04A
14,2013,4,04B
167,2013,4,05
692,2013,4,06
99,2013,4,07
82,2013,4,08A
340,2013,4,08B
12,2013,4,10
97,2013,4,11
1,2013,4,13
306,2013,4,14
7,2013,4,15
1,2013,4,16
18,2013,4,17
58,2013,4,18
1,2013,4,19
5,2013,4,20
5,2013,4,22
13,2013,4,24
215,2013,4,26
9,2014,4,02
30,2014,4,03
14,2014,4,04A
29,2014,4,04B
123,2014,4,05
512,2014,4,06
67,2014,4,07
73,2014,4,08A
298,2014,4,08B
1,2014,4,09
18,2014,4,10
126,2014,4,11
1,2014,4,12
243,2014,4,14
9,2014,4,15
2,2014,4,16
22,2014,4,17
100,2014,4,18
2,2014,4,19
7,2014,4,20
7,2014,4,22
17,2014,4,24
186,2014,4,26
1,2015,4,01A
8,2015,4,02
42,2015,4,03
24,2015,4,04A
16,2015,4,04B
89,2015,4,05
503,2015,4,06
58,2015,4,07
76,2015,4,08A
272,2015,4,08B
1,2015,4,09
14,2015,4,10
133,2015,4,11
237,2015,4,14
10,2015,4,15
2,2015,4,16
12,2015,4,17
77,2015,4,18
1,2015,4,19
10,2015,4,20
1,2015,4,22
10,2015,4,24
169,2015,4,26
1,2016,4,01A
17,2016,4,02
52,2016,4,03
23,2016,4,04A
20,2016,4,04B
117,2016,4,05
530,2016,4,06
79,2016,4,07
74,2016,4,08A
276,2016,4,08B
1,2016,4,09
17,2016,4,10
226,2016,4,11
2,2016,4,12
249,2016,4,14
18,2016,4,15
9,2016,4,17
40,2016,4,18
1,2016,4,19
14,2016,4,20
2,2016,4,22
11,2016,4,24
194,2016,4,26
5,2007,5,02
46,2007,5,03
16,2007,5,04A
21,2007,5,04B
205,2007,5,05
833,2007,5,06
108,2007,5,07
84,2007,5,08A
248,2007,5,08B
1,2007,5,09
31,2007,5,10
117,2007,5,11
2,2007,5,12
419,2007,5,14
7,2007,5,15
4,2007,5,16
13,2007,5,17
101,2007,5,18
5,2007,5,19
6,2007,5,20
16,2007,5,22
14,2007,5,24
332,2007,5,26
2,2008,5,01A
10,2008,5,02
48,2008,5,03
17,2008,5,04A
20,2008,5,04B
242,2008,5,05
876,2008,5,06
97,2008,5,07
73,2008,5,08A
225,2008,5,08B
2,2008,5,09
21,2008,5,10
134,2008,5,11
3,2008,5,12
2,2008,5,13
398,2008,5,14
7,2008,5,15
19,2008,5,17
81,2008,5,18
2,2008,5,19
1,2008,5,20
7,2008,5,22
15,2008,5,24
291,2008,5,26
1,2009,5,01A
12,2009,5,02
49,2009,5,03
16,2009,5,04A
19,2009,5,04B
241,2009,5,05
876,2009,5,06
107,2009,5,07
71,2009,5,08A
199,2009,5,08B
1,2009,5,09
17,2009,5,10
116,2009,5,11
1,2009,5,13
335,2009,5,14
6,2009,5,15
1,2009,5,16
9,2009,5,17
83,2009,5,18
2,2009,5,19
2,2009,5,20
5,2009,5,22
10,2009,5,24
253,2009,5,26
3,2010,5,02
50,2010,5,03
13,2010,5,04A
15,2010,5,04B
201,2010,5,05
735,2010,5,06
102,2010,5,07
60,2010,5,08A
173,2010,5,08B
7,2010,5,09
14,2010,5,10
95,2010,5,11
1,2010,5,12
1,2010,5,13
310,2010,5,14
13,2010,5,15
1,2010,5,16
6,2010,5,17
80,2010,5,18
6,2010,5,20
1,2010,5,22
15,2010,5,24
160,2010,5,26
13,2011,5,02
32,2011,5,03
6,2011,5,04A
19,2011,5,04B
270,2011,5,05
629,2011,5,06
112,2011,5,07
70,2011,5,08A
178,2011,5,08B
1,2011,5,09
12,2011,5,10
98,2011,5,11
1,2011,5,12
2,2011,5,13
230,2011,5,14
4,2011,5,15
2,2011,5,16
11,2011,5,17
55,2011,5,18
3,2011,5,20
2,2011,5,22
14,2011,5,24
182,2011,5,26
6,2012,5,02
44,2012,5,03
10,2012,5,04A
19,2012,5,04B
247,2012,5,05
683,2012,5,06
123,2012,5,07
62,2012,5,08A
177,2012,5,08B
4,2012,5,09
10,2012,5,10
81,2012,5,11
211,2012,5,14
4,2012,5,15
7,2012,5,17
66,2012,5,18
4,2012,5,20
6,2012,5,22
8,2012,5,24
148,2012,5,26
1,2013,5,01A
5,2013,5,02
41,2013,5,03
4,2013,5,04A
11,2013,5,04B
171,2013,5,05
681,2013,5,06
103,2013,5,07
50,2013,5,08A
138,2013,5,08B
2,2013,5,09
10,2013,5,10
76,2013,5,11
1,2013,5,12
238,2013,5,14
6,2013,5,15
1,2013,5,16
8,2013,5,17
37,2013,5,18
3,2013,5,20
7,2013,5,22
10,2013,5,24
118,2013,5,26
8,2014,5,02
24,2014,5,03
15,2014,5,04A
12,2014,5,04B
153,2014,5,05
548,2014,5,06
62,2014,5,07
39,2014,5,08A
130,2014,5,08B
1,2014,5,09
18,2014,5,10
102,2014,5,11
254,2014,5,14
2,2014,5,15
1,2014,5,16
8,2014,5,17
28,2014,5,18
2,2014,5,20
2,2014,5,22
5,2014,5,24
126,2014,5,26
6,2015,5,02
43,2015,5,03
10,2015,5,04A
11,2015,5,04B
92,2015,5,05
521,2015,5,06
58,2015,5,07
45,2015,5,08A
126,2015,5,08B
6,2015,5,09
24,2015,5,10
109,2015,5,11
178,2015,5,14
1,2015,5,15
10,2015,5,17
36,2015,5,18
2,2015,5,20
2,2015,5,22
6,2015,5,24
106,2015,5,26
6,2016,5,02
48,2016,5,03
17,2016,5,04A
13,2016,5,04B
108,2016,5,05
473,2016,5,06
58,2016,5,07
43,2016,5,08A
108,2016,5,08B
18,2016,5,10
185,2016,5,11
164,2016,5,14
5,2016,5,15
3,2016,5,17
29,2016,5,18
4,2016,5,20
2,2016,5,22
2,2016,5,24
107,2016,5,26
6,2007,6,01A
21,2007,6,02
230,2007,6,03
41,2007,6,04A
76,2007,6,04B
637,2007,6,05
2799,2007,6,06
266,2007,6,07
218,2007,6,08A
932,2007,6,08B
2,2007,6,09
52,2007,6,10
485,2007,6,11
1,2007,6,12
6,2007,6,13
949,2007,6,14
15,2007,6,15
54,2007,6,16
64,2007,6,17
304,2007,6,18
1,2007,6,19
7,2007,6,20
42,2007,6,22
53,2007,6,24
738,2007,6,26
1,2008,6,01A
30,2008,6,02
278,2008,6,03
38,2008,6,04A
79,2008,6,04B
694,2008,6,05
3210,2008,6,06
260,2008,6,07
225,2008,6,08A
926,2008,6,08B
3,2008,6,09
58,2008,6,10
510,2008,6,11
2,2008,6,12
2,2008,6,13
980,2008,6,14
11,2008,6,15
20,2008,6,16
39,2008,6,17
179,2008,6,18
7,2008,6,20
35,2008,6,22
40,2008,6,24
588,2008,6,26
32,2009,6,02
278,2009,6,03
26,2009,6,04A
63,2009,6,04B
535,2009,6,05
3079,2009,6,06
245,2009,6,07
197,2009,6,08A
827,2009,6,08B
1,2009,6,09
49,2009,6,10
532,2009,6,11
2,2009,6,12
956,2009,6,14
12,2009,6,15
22,2009,6,16
43,2009,6,17
216,2009,6,18
1,2009,6,19
5,2009,6,20
19,2009,6,22
46,2009,6,24
575,2009,6,26
1,2010,6,01A
36,2010,6,02
283,2010,6,03
38,2010,6,04A
83,2010,6,04B
505,2010,6,05
3016,2010,6,06
257,2010,6,07
196,2010,6,08A
758,2010,6,08B
4,2010,6,09
42,2010,6,10
527,2010,6,11
2,2010,6,12
2,2010,6,13
769,2010,6,14
10,2010,6,15
18,2010,6,16
35,2010,6,17
274,2010,6,18
2,2010,6,19
4,2010,6,20
22,2010,6,22
57,2010,6,24
518,2010,6,26
2,2011,6,01A
24,2011,6,02
317,2011,6,03
36,2011,6,04A
86,2011,6,04B
537,2011,6,05
2919,2011,6,06
341,2011,6,07
200,2011,6,08A
864,2011,6,08B
3,2011,6,09
35,2011,6,10
475,2011,6,11
1,2011,6,12
2,2011,6,13
714,2011,6,14
18,2011,6,15
31,2011,6,16
30,2011,6,17
282,2011,6,18
1,2011,6,20
22,2011,6,22
80,2011,6,24
507,2011,6,26
3,2012,6,01A
26,2012,6,02
346,2012,6,03
42,2012,6,04A
80,2012,6,04B
705,2012,6,05
2912,2012,6,06
353,2012,6,07
212,2012,6,08A
899,2012,6,08B
5,2012,6,09
23,2012,6,10
414,2012,6,11
3,2012,6,12
3,2012,6,13
745,2012,6,14
24,2012,6,15
13,2012,6,16
39,2012,6,17
283,2012,6,18
2,2012,6,19
7,2012,6,20
15,2012,6,22
49,2012,6,24
492,2012,6,26
23,2013,6,02
356,2013,6,03
35,2013,6,04A
58,2013,6,04B
387,2013,6,05
2680,2013,6,06
302,2013,6,07
167,2013,6,08A
848,2013,6,08B
1,2013,6,09
37,2013,6,10
520,2013,6,11
2,2013,6,12
4,2013,6,13
616,2013,6,14
10,2013,6,15
3,2013,6,16
25,2013,6,17
204,2013,6,18
1,2013,6,19
5,2013,6,20
14,2013,6,22
66,2013,6,24
459,2013,6,26
32,2014,6,02
234,2014,6,03
23,2014,6,04A
66,2014,6,04B
360,2014,6,05
2196,2014,6,06
150,2014,6,07
167,2014,6,08A
649,2014,6,08B
13,2014,6,09
40,2014,6,10
465,2014,6,11
3,2014,6,12
2,2014,6,13
568,2014,6,14
13,2014,6,15
6,2014,6,16
30,2014,6,17
162,2014,6,18
11,2014,6,20
33,2014,6,22
57,2014,6,24
414,2014,6,26
1,2015,6,01A
46,2015,6,02
195,2015,6,03
34,2015,6,04A
72,2015,6,04B
299,2015,6,05
2171,2015,6,06
193,2015,6,07
178,2015,6,08A
699,2015,6,08B
10,2015,6,09
33,2015,6,10
481,2015,6,11
2,2015,6,12
3,2015,6,13
514,2015,6,14
13,2015,6,15
1,2015,6,16
22,2015,6,17
121,2015,6,18
6,2015,6,20
19,2015,6,22
50,2015,6,24
415,2015,6,26
1,2016,6,01A
37,2016,6,02
270,2016,6,03
35,2016,6,04A
83,2016,6,04B
409,2016,6,05
2146,2016,6,06
204,2016,6,07
165,2016,6,08A
735,2016,6,08B
3,2016,6,09
71,2016,6,10
668,2016,6,11
1,2016,6,12
2,2016,6,13
593,2016,6,14
20,2016,6,15
2,2016,6,16
26,2016,6,17
72,2016,6,18
14,2016,6,20
20,2016,6,22
53,2016,6,24
415,2016,6,26
1,2007,7,01A
17,2007,7,02
169,2007,7,03
33,2007,7,04A
77,2007,7,04B
533,2007,7,05
2976,2007,7,06
239,2007,7,07
165,2007,7,08A
577,2007,7,08B
4,2007,7,09
49,2007,7,10
314,2007,7,11
4,2007,7,12
7,2007,7,13
1038,2007,7,14
14,2007,7,15
27,2007,7,16
30,2007,7,17
140,2007,7,18
1,2007,7,19
6,2007,7,20
19,2007,7,22
21,2007,7,24
450,2007,7,26
13,2008,7,02
189,2008,7,03
27,2008,7,04A
53,2008,7,04B
559,2008,7,05
3071,2008,7,06
260,2008,7,07
128,2008,7,08A
574,2008,7,08B
5,2008,7,09
37,2008,7,10
354,2008,7,11
3,2008,7,12
2,2008,7,13
900,2008,7,14
5,2008,7,15
13,2008,7,16
27,2008,7,17
116,2008,7,18
10,2008,7,20
28,2008,7,22
20,2008,7,24
426,2008,7,26
2,2009,7,01A
20,2009,7,02
187,2009,7,03
20,2009,7,04A
51,2009,7,04B
379,2009,7,05
2886,2009,7,06
226,2009,7,07
119,2009,7,08A
509,2009,7,08B
1,2009,7,09
30,2009,7,10
316,2009,7,11
8,2009,7,13
776,2009,7,14
11,2009,7,15
4,2009,7,16
23,2009,7,17
103,2009,7,18
3,2009,7,19
1,2009,7,20
28,2009,7,22
14,2009,7,24
401,2009,7,26
13,2010,7,02
161,2010,7,03
29,2010,7,04A
45,2010,7,04B
419,2010,7,05
2751,2010,7,06
234,2010,7,07
95,2010,7,08A
456,2010,7,08B
1,2010,7,09
27,2010,7,10
292,2010,7,11
2,2010,7,12
4,2010,7,13
737,2010,7,14
5,2010,7,15
6,2010,7,16
17,2010,7,17
97,2010,7,18
2,2010,7,19
7,2010,7,20
33,2010,7,22
28,2010,7,24
334,2010,7,26
2,2011,7,01A
14,2011,7,02
150,2011,7,03
20,2011,7,04A
52,2011,7,04B
