count,weekday,year,community_area,primary_type
23,1,2007,14,08A
96,1,2007,14,08B
17,1,2007,14,11
69,1,2007,14,14
2,1,2007,14,15
6,1,2007,14,16
6,1,2007,14,17
40,1,2007,14,18
3,1,2007,14,20
3,1,2007,14,22
7,1,2007,14,24
64,1,2007,14,26
3,1,2007,15,02
19,1,2007,15,03
8,1,2007,15,04A
13,1,2007,15,04B
50,1,2007,15,05
173,1,2007,15,06
49,1,2007,15,07
35,1,2007,15,08A
104,1,2007,15,08B
5,1,2007,15,09
10,1,2007,15,10
31,1,2007,15,11
1,1,2007,15,12
124,1,2007,15,14
1,1,2007,15,15
8,1,2007,15,16
6,1,2007,15,17
62,1,2007,15,18
4,1,2007,15,20
3,1,2007,15,22
6,1,2007,15,24
89,1,2007,15,26
7,1,2007,16,02
17,1,2007,16,03
9,1,2007,16,04A
8,1,2007,16,04B
80,1,2007,16,05
160,1,2007,16,06
49,1,2007,16,07
27,1,2007,16,08A
113,1,2007,16,08B
5,1,2007,16,10
12,1,2007,16,11
1,1,2007,16,12
1,1,2007,16,13
117,1,2007,16,14
1,1,2007,16,15
6,1,2007,16,17
42,1,2007,16,18
4,1,2007,16,20
1,1,2007,16,22
1,1,2007,16,24
79,1,2007,16,26
1,1,2007,17,02
4,1,2007,17,03
3,1,2007,17,04A
2,1,2007,17,04B
26,1,2007,17,05
77,1,2007,17,06
27,1,2007,17,07
18,1,2007,17,08A
48,1,2007,17,08B
6,1,2007,17,10
19,1,2007,17,11
2,1,2007,17,12
1,1,2007,17,13
68,1,2007,17,14
2,1,2007,17,15
1,1,2007,17,17
11,1,2007,17,18
1,1,2007,17,20
2,1,2007,17,22
49,1,2007,17,26
1,1,2007,18,02
4,1,2007,18,03
2,1,2007,18,04A
3,1,2007,18,04B
14,1,2007,18,05
48,1,2007,18,06
12,1,2007,18,07
9,1,2007,18,08A
17,1,2007,18,08B
10,1,2007,18,11
1,1,2007,18,12
29,1,2007,18,14
1,1,2007,18,17
4,1,2007,18,18
1,1,2007,18,20
16,1,2007,18,26
1,1,2007,19,01A
10,1,2007,19,02
25,1,2007,19,03
22,1,2007,19,04A
24,1,2007,19,04B
89,1,2007,19,05
235,1,2007,19,06
78,1,2007,19,07
58,1,2007,19,08A
167,1,2007,19,08B
3,1,2007,19,09
18,1,2007,19,10
26,1,2007,19,11
1,1,2007,19,13
186,1,2007,19,14
6,1,2007,19,15
8,1,2007,19,16
7,1,2007,19,17
68,1,2007,19,18
1,1,2007,19,19
7,1,2007,19,20
2,1,2007,19,22
16,1,2007,19,24
134,1,2007,19,26
1,1,2007,20,02
18,1,2007,20,03
9,1,2007,20,04A
8,1,2007,20,04B
27,1,2007,20,05
66,1,2007,20,06
25,1,2007,20,07
14,1,2007,20,08A
61,1,2007,20,08B
2,1,2007,20,10
10,1,2007,20,11
49,1,2007,20,14
3,1,2007,20,15
1,1,2007,20,16
1,1,2007,20,17
38,1,2007,20,18
5,1,2007,20,20
1,1,2007,20,22
9,1,2007,20,24
45,1,2007,20,26
1,1,2007,21,02
22,1,2007,21,03
8,1,2007,21,04A
9,1,2007,21,04B
55,1,2007,21,05
101,1,2007,21,06
39,1,2007,21,07
37,1,2007,21,08A
65,1,2007,21,08B
1,1,2007,21,09
6,1,2007,21,10
19,1,2007,21,11
83,1,2007,21,14
1,1,2007,21,15
3,1,2007,21,16
2,1,2007,21,17
27,1,2007,21,18
1,1,2007,21,20
2,1,2007,21,22
4,1,2007,21,24
62,1,2007,21,26
2,1,2007,22,01A
9,1,2007,22,02
40,1,2007,22,03
19,1,2007,22,04A
21,1,2007,22,04B
121,1,2007,22,05
340,1,2007,22,06
76,1,2007,22,07
52,1,2007,22,08A
170,1,2007,22,08B
5,1,2007,22,09
7,1,2007,22,10
42,1,2007,22,11
158,1,2007,22,14
9,1,2007,22,15
9,1,2007,22,16
8,1,2007,22,17
87,1,2007,22,18
5,1,2007,22,20
2,1,2007,22,22
8,1,2007,22,24
106,1,2007,22,26
6,1,2007,23,01A
8,1,2007,23,02
67,1,2007,23,03
24,1,2007,23,04A
58,1,2007,23,04B
88,1,2007,23,05
270,1,2007,23,06
86,1,2007,23,07
93,1,2007,23,08A
306,1,2007,23,08B
8,1,2007,23,09
9,1,2007,23,10
38,1,2007,23,11
172,1,2007,23,14
21,1,2007,23,15
31,1,2007,23,16
6,1,2007,23,17
304,1,2007,23,18
14,1,2007,23,19
8,1,2007,23,20
2,1,2007,23,22
7,1,2007,23,24
158,1,2007,23,26
3,1,2007,24,01A
7,1,2007,24,02
46,1,2007,24,03
22,1,2007,24,04A
20,1,2007,24,04B
130,1,2007,24,05
557,1,2007,24,06
80,1,2007,24,07
77,1,2007,24,08A
190,1,2007,24,08B
6,1,2007,24,09
10,1,2007,24,10
34,1,2007,24,11
1,1,2007,24,13
208,1,2007,24,14
12,1,2007,24,15
27,1,2007,24,16
8,1,2007,24,17
93,1,2007,24,18
3,1,2007,24,20
8,1,2007,24,24
143,1,2007,24,26
6,1,2007,25,01A
23,1,2007,25,02
141,1,2007,25,03
65,1,2007,25,04A
110,1,2007,25,04B
165,1,2007,25,05
513,1,2007,25,06
153,1,2007,25,07
162,1,2007,25,08A
614,1,2007,25,08B
5,1,2007,25,09
17,1,2007,25,10
70,1,2007,25,11
375,1,2007,25,14
42,1,2007,25,15
55,1,2007,25,16
9,1,2007,25,17
838,1,2007,25,18
30,1,2007,25,19
21,1,2007,25,20
7,1,2007,25,22
33,1,2007,25,24
438,1,2007,25,26
1,1,2007,26,01A
6,1,2007,26,02
36,1,2007,26,03
11,1,2007,26,04A
38,1,2007,26,04B
34,1,2007,26,05
130,1,2007,26,06
44,1,2007,26,07
31,1,2007,26,08A
199,1,2007,26,08B
3,1,2007,26,09
2,1,2007,26,10
20,1,2007,26,11
94,1,2007,26,14
9,1,2007,26,15
23,1,2007,26,16
2,1,2007,26,17
224,1,2007,26,18
7,1,2007,26,19
4,1,2007,26,20
4,1,2007,26,24
79,1,2007,26,26
6,1,2007,27,02
47,1,2007,27,03
26,1,2007,27,04A
56,1,2007,27,04B
46,1,2007,27,05
158,1,2007,27,06
42,1,2007,27,07
76,1,2007,27,08A
218,1,2007,27,08B
3,1,2007,27,09
2,1,2007,27,10
12,1,2007,27,11
120,1,2007,27,14
6,1,2007,27,15
20,1,2007,27,16
4,1,2007,27,17
235,1,2007,27,18
7,1,2007,27,19
4,1,2007,27,20
2,1,2007,27,22
6,1,2007,27,24
111,1,2007,27,26
2,1,2007,28,01A
2,1,2007,28,02
61,1,2007,28,03
14,1,2007,28,04A
27,1,2007,28,04B
70,1,2007,28,05
497,1,2007,28,06
87,1,2007,28,07
82,1,2007,28,08A
219,1,2007,28,08B
16,1,2007,28,10
52,1,2007,28,11
1,1,2007,28,12
154,1,2007,28,14
5,1,2007,28,15
8,1,2007,28,16
7,1,2007,28,17
128,1,2007,28,18
5,1,2007,28,19
2,1,2007,28,20
1,1,2007,28,22
10,1,2007,28,24
188,1,2007,28,26
8,1,2007,29,02
68,1,2007,29,03
31,1,2007,29,04A
42,1,2007,29,04B
67,1,2007,29,05
236,1,2007,29,06
62,1,2007,29,07
78,1,2007,29,08A
274,1,2007,29,08B
2,1,2007,29,09
4,1,2007,29,10
14,1,2007,29,11
1,1,2007,29,13
165,1,2007,29,14
9,1,2007,29,15
15,1,2007,29,16
6,1,2007,29,17
306,1,2007,29,18
23,1,2007,29,19
10,1,2007,29,20
15,1,2007,29,24
164,1,2007,29,26
4,1,2007,30,01A
6,1,2007,30,02
37,1,2007,30,03
19,1,2007,30,04A
26,1,2007,30,04B
48,1,2007,30,05
205,1,2007,30,06
59,1,2007,30,07
53,1,2007,30,08A
190,1,2007,30,08B
4,1,2007,30,09
5,1,2007,30,10
18,1,2007,30,11
112,1,2007,30,14
11,1,2007,30,15
10,1,2007,30,16
6,1,2007,30,17
82,1,2007,30,18
4,1,2007,30,20
6,1,2007,30,22
29,1,2007,30,24
159,1,2007,30,26
4,1,2007,31,02
18,1,2007,31,03
13,1,2007,31,04A
15,1,2007,31,04B
40,1,2007,31,05
139,1,2007,31,06
27,1,2007,31,07
20,1,2007,31,08A
91,1,2007,31,08B
1,1,2007,31,09
7,1,2007,31,10
20,1,2007,31,11
1,1,2007,31,13
87,1,2007,31,14
3,1,2007,31,15
3,1,2007,31,17
53,1,2007,31,18
7,1,2007,31,20
4,1,2007,31,22
11,1,2007,31,24
75,1,2007,31,26
4,1,2007,32,02
31,1,2007,32,03
4,1,2007,32,04A
8,1,2007,32,04B
21,1,2007,32,05
637,1,2007,32,06
18,1,2007,32,07
42,1,2007,32,08A
98,1,2007,32,08B
13,1,2007,32,10
88,1,2007,32,11
2,1,2007,32,12
81,1,2007,32,14
3,1,2007,32,15
10,1,2007,32,17
20,1,2007,32,18
2,1,2007,32,22
5,1,2007,32,24
155,1,2007,32,26
1,1,2007,33,01A
1,1,2007,33,02
8,1,2007,33,03
2,1,2007,33,04A
6,1,2007,33,04B
15,1,2007,33,05
129,1,2007,33,06
13,1,2007,33,07
13,1,2007,33,08A
59,1,2007,33,08B
2,1,2007,33,10
11,1,2007,33,11
35,1,2007,33,14
1,1,2007,33,15
1,1,2007,33,17
33,1,2007,33,18
2,1,2007,33,24
151,1,2007,33,26
8,1,2007,34,03
4,1,2007,34,04A
3,1,2007,34,04B
7,1,2007,34,05
37,1,2007,34,06
6,1,2007,34,07
9,1,2007,34,08A
14,1,2007,34,08B
2,1,2007,34,10
3,1,2007,34,11
25,1,2007,34,14
1,1,2007,34,17
11,1,2007,34,18
1,1,2007,34,19
3,1,2007,34,22
1,1,2007,34,24
25,1,2007,34,26
1,1,2007,35,01A
3,1,2007,35,02
26,1,2007,35,03
7,1,2007,35,04A
20,1,2007,35,04B
17,1,2007,35,05
123,1,2007,35,06
21,1,2007,35,07
31,1,2007,35,08A
118,1,2007,35,08B
2,1,2007,35,10
19,1,2007,35,11
1,1,2007,35,12
53,1,2007,35,14
2,1,2007,35,15
2,1,2007,35,17
212,1,2007,35,18
4,1,2007,35,24
119,1,2007,35,26
1,1,2007,36,02
7,1,2007,36,03
1,1,2007,36,04A
2,1,2007,36,04B
9,1,2007,36,05
22,1,2007,36,06
4,1,2007,36,07
7,1,2007,36,08A
22,1,2007,36,08B
1,1,2007,36,11
12,1,2007,36,14
1,1,2007,36,15
22,1,2007,36,18
11,1,2007,36,26
10,1,2007,37,03
2,1,2007,37,04A
3,1,2007,37,04B
8,1,2007,37,05
38,1,2007,37,06
6,1,2007,37,07
14,1,2007,37,08A
41,1,2007,37,08B
1,1,2007,37,09
2,1,2007,37,10
4,1,2007,37,11
3,1,2007,37,13
16,1,2007,37,14
4,1,2007,37,15
23,1,2007,37,18
1,1,2007,37,19
1,1,2007,37,24
30,1,2007,37,26
2,1,2007,38,01A
6,1,2007,38,02
40,1,2007,38,03
11,1,2007,38,04A
32,1,2007,38,04B
51,1,2007,38,05
145,1,2007,38,06
40,1,2007,38,07
46,1,2007,38,08A
148,1,2007,38,08B
3,1,2007,38,10
19,1,2007,38,11
1,1,2007,38,13
82,1,2007,38,14
7,1,2007,38,15
25,1,2007,38,16
5,1,2007,38,17
52,1,2007,38,18
2,1,2007,38,19
2,1,2007,38,20
4,1,2007,38,24
89,1,2007,38,26
2,1,2007,39,02
21,1,2007,39,03
5,1,2007,39,04A
8,1,2007,39,04B
30,1,2007,39,05
97,1,2007,39,06
10,1,2007,39,07
17,1,2007,39,08A
50,1,2007,39,08B
4,1,2007,39,10
9,1,2007,39,11
48,1,2007,39,14
2,1,2007,39,15
20,1,2007,39,18
3,1,2007,39,19
2,1,2007,39,20
1,1,2007,39,22
4,1,2007,39,24
49,1,2007,39,26
2,1,2007,40,01A
4,1,2007,40,02
30,1,2007,40,03
11,1,2007,40,04A
21,1,2007,40,04B
43,1,2007,40,05
94,1,2007,40,06
34,1,2007,40,07
37,1,2007,40,08A
130,1,2007,40,08B
1,1,2007,40,09
3,1,2007,40,10
12,1,2007,40,11
1,1,2007,40,13
66,1,2007,40,14
7,1,2007,40,15
27,1,2007,40,16
1,1,2007,40,17
50,1,2007,40,18
6,1,2007,40,19
3,1,2007,40,20
5,1,2007,40,24
72,1,2007,40,26
1,1,2007,41,02
30,1,2007,41,03
4,1,2007,41,04A
7,1,2007,41,04B
24,1,2007,41,05
120,1,2007,41,06
19,1,2007,41,07
13,1,2007,41,08A
46,1,2007,41,08B
8,1,2007,41,10
20,1,2007,41,11
25,1,2007,41,14
2,1,2007,41,15
2,1,2007,41,17
5,1,2007,41,18
4,1,2007,41,19
2,1,2007,41,20
2,1,2007,41,24
49,1,2007,41,26
1,1,2007,42,01A
6,1,2007,42,02
61,1,2007,42,03
22,1,2007,42,04A
37,1,2007,42,04B
86,1,2007,42,05
149,1,2007,42,06
49,1,2007,42,07
54,1,2007,42,08A
173,1,2007,42,08B
6,1,2007,42,10
28,1,2007,42,11
1,1,2007,42,12
142,1,2007,42,14
16,1,2007,42,15
2,1,2007,42,16
5,1,2007,42,17
153,1,2007,42,18
2,1,2007,42,19
5,1,2007,42,20
1,1,2007,42,22
19,1,2007,42,24
149,1,2007,42,26
3,1,2007,43,01A
13,1,2007,43,02
144,1,2007,43,03
34,1,2007,43,04A
64,1,2007,43,04B
146,1,2007,43,05
325,1,2007,43,06
